year, CESM2-WACCM, MPI-ESM1-2-LR, MIROC-ES2L, ACCESS-ESM1-5, CNRM-ESM2-1, IPSL-CM6A-LR, CanESM5, NorESM2-MM, EC-Earth3-Veg, NorESM2-LM, TaiESM1, CMCC-CM2-SR5, UKESM1-0-LL, INM-CM4-8, INM-CM5-0, GFDL-ESM4
2.062000000000000000e+03, 2.994084716177599717e+02, 2.978035946990444813e+02, 2.991093199705122743e+02, 2.991640018811238519e+02, 2.991400600311656603e+02, 2.974422438138199141e+02, 2.992760441111786918e+02, 2.984871528232159221e+02, 2.974428682258463255e+02, 2.989062051903068777e+02, 2.998158911837033429e+02, 2.988847333359284448e+02, 2.996352713752706904e+02, 2.974523941840408270e+02, 2.975152013834997433e+02, 2.974620791983840604e+02
2.063000000000000000e+03, 2.995077467850492212e+02, 2.976344680358655523e+02, 2.998724961292854232e+02, 2.992822497061910099e+02, 2.994172179025222817e+02, 2.975169442776804658e+02, 2.994940735924757860e+02, 2.989477527224009918e+02, 2.972723218940487300e+02, 2.990301034186068705e+02, 2.995060784665435563e+02, 2.988998315249170332e+02, 2.999544335416016452e+02, 2.972826841384002705e+02, 2.976725125261242511e+02, 2.974927942202650684e+02
2.064000000000000000e+03, 2.998642952164663598e+02, 2.977868193337230309e+02, 2.998718949994801051e+02, 2.993041064418859492e+02, 2.986040267831705819e+02, 2.975401544639597660e+02, 2.993563672803475697e+02, 2.989845347293110649e+02, 2.977350748439417316e+02, 2.989687277367459046e+02, 2.995682786743386714e+02, 2.994237738276204368e+02, 2.996962060366337823e+02, 2.973242253978123699e+02, 2.973645850551264971e+02, 2.974632621333026350e+02
2.065000000000000000e+03, 2.999110618472375336e+02, 2.977424220985526517e+02, 2.987580144647690759e+02, 2.986217328198050609e+02, 2.988211688466089413e+02, 2.973756193787649522e+02, 2.989258960933636331e+02, 2.981254729595249273e+02, 2.980083453868487595e+02, 2.988248060950138552e+02, 2.995819418826597484e+02, 2.999185267585422139e+02, 2.989957900208139563e+02, 2.973432403042381225e+02, 2.972944592937680000e+02, 2.976681157076145610e+02
2.066000000000000000e+03, 2.992013483659256394e+02, 2.978388614348525039e+02, 2.989161886176347593e+02, 2.990915512784026191e+02, 2.995508676035079816e+02, 2.973552065121046439e+02, 2.993211930756813786e+02, 2.982339129623884446e+02, 2.975406272761532591e+02, 2.992921762702657134e+02, 2.991521712128874242e+02, 3.002356093656377993e+02, 2.995721545043606966e+02, 2.972951766098703388e+02, 2.973590980881180030e+02, 2.975845309466164963e+02
2.067000000000000000e+03, 2.996487675054793272e+02, 2.977215263365548594e+02, 2.993014120224577255e+02, 2.993091764155004739e+02, 2.987375831163021189e+02, 2.970097500457688966e+02, 2.993066628017070911e+02, 2.989239511661927509e+02, 2.972747633043543374e+02, 2.986688539729269678e+02, 2.991271659976603701e+02, 2.992269962518295188e+02, 2.999602101946996981e+02, 2.974706310523198454e+02, 2.975623875379032484e+02, 2.974561983490873445e+02
2.068000000000000000e+03, 2.997461845699431251e+02, 2.982309672201596413e+02, 3.000149358687793324e+02, 2.989427786551942745e+02, 2.987178708319403313e+02, 2.972004315314136420e+02, 2.989429018013661334e+02, 2.983580512604376622e+02, 2.980530847325339892e+02, 2.986481734936434123e+02, 2.997589710111467411e+02, 2.991894156495361017e+02, 2.998151145758310463e+02, 2.975584604242679347e+02, 2.977161909259409072e+02, 2.977451769177364440e+02
2.069000000000000000e+03, 2.997425335339773369e+02, 2.980381847019811516e+02, 2.992845190344986577e+02, 2.992761423971921317e+02, 2.990334064073505829e+02, 2.971193186311853083e+02, 2.992055586636644762e+02, 2.984244633828305950e+02, 2.973840551125651359e+02, 2.994623673935358852e+02, 2.999842564101901417e+02, 2.992750127841408130e+02, 2.996448532267400537e+02, 2.972987511593033219e+02, 2.973124076277774748e+02, 2.980733103176281134e+02
2.070000000000000000e+03, 2.992312259038000093e+02, 2.979204133592805874e+02, 2.984818224640409312e+02, 2.993520912383538644e+02, 2.986642354213533395e+02, 2.973543257895493639e+02, 2.993666527235849912e+02, 2.986851580234234120e+02, 2.973888989522921520e+02, 2.995984198761371431e+02, 2.992905703168667060e+02, 2.994875243465491508e+02, 3.001495015126786825e+02, 2.971579285987886010e+02, 2.971561806754739905e+02, 2.977152278674694799e+02
2.071000000000000000e+03, 2.997078718870641296e+02, 2.977307236974471039e+02, 2.983039732633449148e+02, 2.990959641485785596e+02, 2.996866150498453294e+02, 2.973699194279663516e+02, 2.993142288025019297e+02, 2.983936562245304458e+02, 2.979940583273292987e+02, 2.985079657931369184e+02, 2.992206290070982391e+02, 2.994159183834160558e+02, 2.994608723846361045e+02, 2.973816534616609601e+02, 2.975316190977558790e+02, 2.973679977873134703e+02
2.072000000000000000e+03, 2.997645345536068362e+02, 2.980730318681760878e+02, 2.988626815241356098e+02, 2.987761859953007502e+02, 2.992300210332620622e+02, 2.969330651705114406e+02, 2.991464121101197975e+02, 2.986403561122479005e+02, 2.978090017509042582e+02, 2.987665599443200222e+02, 2.997637389064365721e+02, 2.998181440056187625e+02, 2.991853275531515237e+02, 2.973361159702743066e+02, 2.974436178083956293e+02, 2.975435306236810789e+02
2.073000000000000000e+03, 2.995497377713177798e+02, 2.981644412015111243e+02, 2.992692498882533414e+02, 2.990531721299752803e+02, 2.991823067710158739e+02, 2.971752931060801188e+02, 2.991810573070977739e+02, 2.985427655893925589e+02, 2.969287864616795787e+02, 2.984970899861887119e+02, 2.999109643782403509e+02, 3.001494339088696961e+02, 2.994762360244742467e+02, 2.976983150761268462e+02, 2.972972894632541738e+02, 2.974846598932745678e+02
